Profile: <cProfile.Profile object at 0x000001F095772890>
         245586 function calls (235919 primitive calls) in 19.962 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.002    0.000 __init__.py:299(loads)
       10    0.000    0.000    0.001    0.000 cookiejar.py:1486(_cookie_from_cookie_tuple)
       23    0.000    0.000    0.002    0.000 http11.py:281(has_expired)
       26    0.000    0.000    0.001    0.000 cookiejar.py:1161(return_ok_domain)
       12    0.000    0.000    0.021    0.002 _models.py:1033(extract_cookies)
     10/2    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       12    0.000    0.000   18.577    1.548 _client.py:964(_send_handling_redirects)
       23    0.000    0.000    0.000    0.000 _urlparse.py:138(__str__)
       13    0.000    0.000    0.000    0.000 client.py:1242(putheader)
       13    0.000    0.000    0.001    0.000 decoder.py:332(decode)
      146    0.000    0.000    0.000    0.000 typing.py:1699(__eq__)
       24    0.000    0.000    0.000    0.000 queue.py:154(get)
      246    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      185    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       12    0.000    0.000    0.001    0.000 _content.py:174(encode_json)
       24    0.000    0.000    0.000    0.000 _models.py:260(<listcomp>)
        3    0.000    0.000    0.000    0.000 _config.py:152(core_config)
       23    0.000    0.000    0.002    0.000 parse.py:1058(_splittype)
        3    0.000    0.000    0.020    0.007 socket.py:945(getaddrinfo)
       35    0.000    0.000    0.003    0.000 _models.py:128(keys)
      6/2    0.000    0.000    0.001    0.000 _parser.py:449(_parse_sub)
       35    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       12    0.000    0.000    0.001    0.000 _writers.py:36(write_request)
       36    0.000    0.000    0.006    0.000 _connection.py:491(send)
        4    0.000    0.000    0.003    0.001 url.py:369(parse_url)
        1    0.000    0.000    0.009    0.009 subprocess.py:807(__init__)
       12    0.000    0.000    0.004    0.000 _models.py:893(close)
        1    0.000    0.000    0.027    0.027 subprocess.py:506(run)
       12    0.000    0.000   18.578    1.548 _client.py:930(_send_handling_auth)
       36    0.000    0.000    0.000    0.000 inspect.py:1787(_is_type)
      158    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        2    0.000    0.000    0.904    0.452 sessions.py:500(request)
